SNOMED Procedure,Count,% of Total
Magnetic resonance imaging study for cardiac congenital anomaly (procedure),16,0.0
Radionuclide renal study with diuretic (procedure) (352991000000101),16,0.0
Diagnostic radiography of orbits (procedure) (75675001),16,0.0
Esophagogastroduodenoscopy (procedure),16,0.0
Computed tomography of pelvis with contrast for radiotherapy planning (procedure),16,0.0
Magnetic resonance imaging of coccyx (procedure) (432241009),16,0.0
Tc99m-methoxyisobutyl isonitrile parathyroid study (procedure) (241391008),16,0.0
Magnetic resonance imaging for measurement of brain volume with contrast (procedure) (698355003),16,0.0
X-ray of zygoma (procedure) (429148001),15,0.0
Biopsy of left kidney using ultrasonographic guidance (procedure),15,0.0
Injection of hand using ultrasound guidance (procedure),15,0.0
Primary percutaneous coronary intervention using fluoroscopic guidance (procedure),15,0.0
Computed tomography of right wrist (procedure) (2031000087107),15,0.0
Sternoclavicular joint X-ray (procedure),15,0.0
Fluoroscopic angiography and embolization of cerebral artery (procedure) (420073009),15,0.0
Transrectal biopsy of prostate using ultrasound guidance (procedure),15,0.0
Ultrasound scan of spine (procedure),15,0.0
Fluoroscopy of ankle (procedure),15,0.0
Magnetic resonance imaging of abdomen with contrast (procedure),15,0.0
Ultrasound skull scan (procedure),15,0.0
Single photon emission computed tomography of bone of thorax (procedure) (433130008),15,0.0
Fluoroscopy guided percutaneous transluminal atherectomy by cutting balloon (procedure),15,0.0
X-ray of thoracic spine using mobile image intensifier (procedure) (432770001),15,0.0
Magnetic resonance imaging of anal sphincter (procedure),15,0.0
Percutaneous transhepatic cholangiogram (procedure) (16747000),15,0.0
Insertion of cardiac defibrillator using fluoroscopic guidance (procedure) (432092009),15,0.0
Injection of wrist using ultrasound guidance (procedure),15,0.0
Ultrasonic guidance for amniocentesis (procedure),15,0.0
Magnetic resonance imaging of lumbar and sacral spine with contrast (procedure) (433140006),14,0.0
Barium meal (procedure) (241153001),14,0.0
Fluoroscopic angioplasty of iliac artery (procedure),14,0.0
Fluoroscopy of lumbar spine (procedure),14,0.0
Computed tomography triple phase study of abdomen and pelvis with contrast (procedure) (912331000000104),14,0.0
Insertion of temporary cardiac pacemaker using fluoroscopic guidance (procedure),14,0.0
Magnetic resonance imaging of pancreas with contrast (procedure) (446061008),14,0.0
Insertion of magnetic marker into right breast using ultrasonographic guidance (procedure) (1104461000000108),14,0.0
Technetium uptake study of thyroid (procedure) (432050004),14,0.0
Skeletal X-ray of ankle and foot (procedure) (1597004),14,0.0
Magnetic resonance imaging of temporomandibular joint (procedure) (57902003),14,0.0
Magnetic resonance arthrography of right shoulder (procedure) (19521000087107),14,0.0
Magnetic resonance imaging of fingers (procedure),14,0.0
Single photon emission computed tomography of perfusion of lung (procedure) (442203000),14,0.0
Radionuclide electrocardiography gated myocardial perfusion stress study using technetium (99m-Tc) tetrofosmin (procedure),14,0.0
Magnetic resonance imaging of neck vessels (procedure) (241665001),14,0.0
Fluoroscopy of sacrum (procedure) (433212008),14,0.0
Computed tomography angiography of mesenteric artery (procedure) (709553001),14,0.0
Diagnostic radiography of temporomandibular joint (procedure),14,0.0
Fluoroscopic urethrography (procedure) (419644004),14,0.0
Percutaneous transfemoral insertion of aortic valve using fluoroscopic guidance (procedure),14,0.0
Fluoroscopic nephrostography (procedure),14,0.0
Fluoroscopy guided percutaneous transluminal atherectomy by rotary cutter (procedure),14,0.0
Fluoroscopic micturating cystourethrography (procedure) (419245009),14,0.0
Magnetic resonance imaging of kidney with contrast (procedure) (702685007),14,0.0
Fluoroscopic angiography of coronary graft using contrast (procedure),13,0.0
Insertion of gastrostomy tube using fluoroscopic guidance (procedure) (431397007),13,0.0
Fluoroscopy - skull (procedure) (168998008),13,0.0
Computed tomography of elbow (procedure) (241566009),13,0.0
Chorionic villus sampling using obstetric ultrasound guidance (procedure),13,0.0
Pulmonary ventilation study (procedure),13,0.0
Fluoroscopic venography of upper limb (procedure) (419870000),13,0.0
Magnetic resonance imaging of cardiac ventricular volume (procedure) (432846005),13,0.0
Computed tomography of abdomen for radiotherapy planning (procedure) (715249004),13,0.0
Cholecystostomy using fluoroscopic guidance (procedure),13,0.0
Positron emission tomography with computed tomography of whole body using fluorocholine (18-F) (procedure),13,0.0
Radionuclide imaging with computed tomography attenuation correction and diagnostic study (procedure) (444441005),13,0.0
Fluoroscopy of right upper limb (procedure),13,0.0
Magnetic resonance imaging of left upper arm (procedure),13,0.0
Magnetic resonance imaging of liver (procedure) (241622002),13,0.0
Computed tomography of orbit with contrast (procedure) (429852004),13,0.0
Insertion of tunneled dialysis catheter using fluoroscopic guidance (procedure),13,0.0
Ultrasonography of multiple pregnancy for fetal nuchal translucency (procedure),13,0.0
Positron emission tomography of brain using fluorodeoxyglucose (18-F) (procedure),13,0.0
Computed tomography of right hand (procedure),13,0.0
Magnetic resonance imaging of brain of fetus (procedure) (443232007),13,0.0
Magnetic resonance imaging of left thigh (procedure),13,0.0
Fluoroscopic angiography of right side of heart (procedure),13,0.0
"Magnetic resonance imaging for cardiac morphology, function, and velocity (procedure)",13,0.0
Plain X-ray of abdomen with contrast (procedure),13,0.0
Computed tomography venography (procedure),12,0.0
Insertion of cardiac biventricular permanent pacemaker using fluoroscopic guidance (procedure) (434417009),12,0.0
Replacement of gastrojejunostomy tube using fluoroscopic guidance (procedure),12,0.0
Injection of marker into breast using ultrasound guidance (procedure) (431717009),12,0.0
Magnetic resonance imaging of breast with contrast (procedure) (432634008),12,0.0
Magnetic resonance imaging of adrenals (procedure) (241623007),12,0.0
"Computerized axial tomography of elbow, left (procedure) (413901008)",12,0.0
Computed tomography of abdomen (procedure) (169070004),12,0.0
Digital breast tomosynthesis (procedure) (450566007),12,0.0
Fluoroscopic angiography of left ventricle and coronary arteries (procedure) (418903008),12,0.0
Magnetic resonance imaging of lumbar spine and pelvis (procedure),12,0.0
Cardioversion using fluoroscopic guidance (procedure) (432029008),12,0.0
Magnetic resonance imaging angiography of whole aorta (procedure),12,0.0
Injection of ankle using ultrasound guidance (procedure) (432872001),12,0.0
Magnetic resonance angiography of carotid artery (procedure),12,0.0
Ultrasound doppler flow mapping of vein of lower limb (procedure) (431218003),12,0.0
Radium 223 brachytherapy (procedure),12,0.0
Magnetic resonance imaging of left hand (procedure) (2351000087100),12,0.0
Single photon emission computed tomography brain dopamine transporter study using ioflupane (123-I) (procedure),12,0.0
Computed tomography of head and orbits (procedure) (702762001),12,0.0
Computed tomography angiography for transcatheter aortic valve implantation planning (procedure) (726631002),12,0.0
Single photon emission computed tomography using ioflupane (123-I) with computed tomography brain dopamine transporter study (procedure),12,0.0
Fluoroscopic parotid sialogram (procedure),12,0.0
Intraoperative cholangiogram (procedure),12,0.0
Single photon emission computed tomography using ioflupane (123-I) with computed tomography brain dopamine transporter study (procedure) (1099171000000100),12,0.0
Magnetic resonance imaging of wrist (procedure) (241637003),12,0.0
Intracardiac ultrasonography (procedure) (431748001),12,0.0
Fine needle aspiration biopsy of axilla using ultrasound guidance (procedure),12,0.0
Computed tomography of neck for radiotherapy planning (procedure) (429877003),12,0.0
Computed tomography of head and neck and thorax and abdomen with contrast (procedure),12,0.0
Ultrasonography of right elbow (procedure) (1021000087101),12,0.0
Speech video fluoroscopy (procedure),12,0.0
Magnetic resonance imaging of cervical spine with contrast (procedure),12,0.0
Fluoroscopic fistulography of upper limb (procedure),12,0.0
Magnetic resonance imaging angiography of whole aorta (procedure) (431431005),12,0.0
Fluoroscopic micturating cystourethrography (procedure),12,0.0
Magnetic resonance imaging of right upper arm (procedure),11,0.0
Radiofrequency ablation using fluoroscopic guidance (procedure) (709588001),11,0.0
Magnetic resonance imaging of right thigh (procedure),11,0.0
Single photon emission computed tomography using technetium 99m hydrazinonicotinamide-Tyr3-octreotide with computed tomography (procedure) (1103271000000104),11,0.0
Fluoroscopic angiography of cerebral artery (procedure),11,0.0
Computed tomography of upper arm (procedure) (241565008),11,0.0
Gated computed tomography for complex congenital heart disease with contrast (procedure) (772821000000105),11,0.0
Ultrasound elastography of liver (procedure) (441491005),11,0.0
Radioisotope imaging dopamine receptor site of brain (procedure) (431321004),11,0.0
Computed tomography of prostate for radiotherapy planning (procedure),11,0.0
"Magnetic resonance imaging for cardiac morphology, function, and velocity with contrast (procedure)",11,0.0
Ultrasonography of right thumb (procedure),11,0.0
Computed tomography of internal auditory meatus with contrast (procedure),11,0.0
Computed tomography angiography of upper limb artery (procedure) (419277007),11,0.0
Radionuclide dual phase gastric emptying study (procedure),11,0.0
Epidural injection of sacral spine using fluoroscopic guidance (procedure),11,0.0
Aspiration of breast using ultrasound guidance (procedure) (438344007),11,0.0
Percutaneous coronary intervention (procedure),11,0.0
Lumbar puncture using fluoroscopic guidance (procedure),11,0.0
Ultrasonography of left thumb (procedure),11,0.0
Radionuclide ablation therapy of thyroid using iodine 131 (procedure),11,0.0
Doppler ultrasonography of artery of upper limb (procedure) (431324007),11,0.0
Vacuum assisted excision of lesion of breast using stereotactic X-ray guidance (procedure),11,0.0
Fetal echocardiography (procedure),11,0.0
Plain X-ray guided wire localization of breast lesion (procedure),11,0.0
Fluoroscopic angiography of right side of heart (procedure) (419177004),11,0.0
Injection of hip using fluoroscopic guidance (procedure) (431699003),11,0.0
Fluoroscopy guided percutaneous transluminal atherectomy by cutting balloon (procedure) (312741000000100),11,0.0
Skeletal X-ray of lower limb (procedure),11,0.0
Magnetic resonance imaging of face (procedure),11,0.0
"Computed tomography of head, thorax, abdomen and pelvis with contrast (procedure)",11,0.0
Insertion of internal and external drain into biliary tract using fluoroscopic guidance (procedure),11,0.0
Fluoroscopy of whole spine (procedure) (431782007),11,0.0
Computed tomography of knee (procedure),11,0.0
Transcranial doppler ultrasonography (procedure) (431648005),11,0.0
Computerized axial tomography of pelvis with contrast (procedure) (74710000),11,0.0
Positron emission tomography with computed tomography of whole body using gallium (68-Ga) dotatate (procedure),10,0.0
Radionuclide imaging of liver and/or biliary tract using radioactive isotope (procedure),10,0.0
Gated computed tomography for cardiac function with contrast (procedure) (711371001),10,0.0
Fluoroscopy of esophagus and dilatation (procedure),10,0.0
Insertion of guide wire into breast using ultrasound guidance (procedure) (433222002),10,0.0
Removal of subcutaneous reservoir using fluoroscopic guidance (procedure),10,0.0
Injection of wrist using fluoroscopic guidance (procedure),10,0.0
Soft tissue X-ray kidney (procedure) (168770003),10,0.0
Ultrasound scan of bladder (procedure),10,0.0
Fine needle aspiration biopsy of breast using ultrasound guidance (procedure),10,0.0
Magnetic resonance imaging of left elbow (procedure) (2191000087107),10,0.0
Mandibular anterior occlusal plain X-ray (procedure) (719868004),10,0.0
Fluoroscopic submandibular sialogram (procedure),10,0.0
Injection of ankle using ultrasound guidance (procedure),10,0.0
Endocardial ablation of pulmonary vein using fluoroscopic guidance (procedure) (431626004),10,0.0
Insertion of cardiac biventricular implantable cardioverter defibrillator using fluoroscopic guidance (procedure),10,0.0
Computed tomography of head and neck with contrast for radiotherapy planning (procedure),10,0.0
Computed tomography of abdominal aorta (procedure),10,0.0
Ultrasound scan of prostate (procedure),10,0.0
Magnetic resonance imaging of buttock (procedure) (432001005),10,0.0
Computed tomography venography of cerebral vein (procedure) (432841000),10,0.0
Single photon emission computed tomography with computed tomography of sentinel lymph node (procedure),10,0.0
Radionuclide electrocardiography gated myocardial perfusion rest study using technetium (99m-Tc) tetrofosmin (procedure),10,0.0
Magnetic resonance imaging angiography of renal and abdominal visceral artery (procedure),10,0.0
Magnetic resonance imaging of spinal cord with contrast (procedure),10,0.0
Ultrasonography of right thumb (procedure) (1271000087107),10,0.0
Injection of knee using ultrasound guidance (procedure),10,0.0
Computed tomography of orbits (procedure) (241520004),10,0.0
Marking of skin using ultrasound guidance (procedure) (431349006),10,0.0
Single photon emission computed tomography of lung (procedure),10,0.0
Magnetic resonance imaging of chest with contrast (procedure) (432815006),10,0.0
Insertion of drain using ultrasound guidance (procedure) (432273003),10,0.0
Fluoroscopy guided insertion of femoral cannula (procedure),10,0.0
Magnetic resonance imaging of cerebrospinal fluid flow (procedure) (431225005),10,0.0
Endoscopic ultrasound examination of pancreas (procedure),10,0.0
Ultrasonography of finger (procedure) (241500000),10,0.0
Magnetic resonance imaging for cardiac morphology and function (procedure),10,0.0
"Computerized axial tomography of elbow, right (procedure) (413902001)",10,0.0
Computed tomography with contrast enema (procedure) (431944009),10,0.0
Fluoroscopic antegrade angiography of femoral artery (procedure) (439245004),10,0.0
Ultrasonography of calf (procedure),10,0.0
Fluoroscopic angiography of aortic arch using contrast (procedure),10,0.0
Computed tomography of adrenal gland with contrast (procedure) (430430003),9,0.0
Magnetic resonance imaging of chest with contrast (procedure),9,0.0
Magnetic resonance imaging of fingers (procedure) (418003005),9,0.0
Computed tomography angiography of renal artery (procedure),9,0.0
Magnetic resonance imaging of femur (procedure) (427366006),9,0.0
Single photon emission computed tomography brain dopamine transporter study using ioflupane (123-I) (procedure) (1099181000000103),9,0.0
Fluoroscopic angiography of right side of heart for oxygen saturation measurement (procedure),9,0.0
Embolization using fluoroscopic guidance (procedure),9,0.0
Radiolabelled whole body octreotide study (procedure) (323271000000103),9,0.0
Biopsy of thorax using computed tomography guidance (procedure),9,0.0
Injection of marker into axilla using ultrasonographic guidance (procedure),9,0.0
Ultrasound scan of penis (procedure) (241485005),9,0.0
Fetal biophysical profile (procedure),9,0.0
Magnetic resonance imaging angiography of pulmonary arteries (procedure) (418786005),9,0.0
Percutaneous transluminal coil embolization of cerebral aneurysm using fluoroscopic guidance (procedure) (439015006),9,0.0
Insertion of marker into breast using stereotactic mammography guidance (procedure),9,0.0
Computed tomography of colon (procedure),9,0.0
Magnetic resonance imaging of trigeminal nerve (procedure),9,0.0
Transthoracic echocardiography for complex congenital heart disease (procedure),9,0.0
Plain X-ray guided wire localization of breast lesion (procedure) (428907005),9,0.0
Radiofrequency biopsy of breast using ultrasound guidance (procedure),9,0.0
Tc99m-dimercaptosuccinic acid renal study (procedure) (304016006),9,0.0
Ultrasonography of left elbow (procedure) (1011000087109),9,0.0
Positron emission tomography with computed tomography of brain using fluorodeoxyglucose (18-F) (procedure),9,0.0
Magnetic resonance imaging of left upper arm (procedure) (2431000087100),9,0.0
Ultrasonography of artery (procedure),9,0.0
Fluoroscopic angiography of pulmonary artery with pressure measurement (procedure) (431489004),9,0.0
X-ray of chest and abdomen (procedure) (420233006),9,0.0
Magnetic resonance imaging of lower leg with contrast (procedure) (433009001),9,0.0
Magnetic resonance imaging of hand (procedure),9,0.0
Magnetic resonance imaging of right foot with contrast (procedure),9,0.0
Contrast radiography via drain (procedure) (315028004),8,0.0
Computed tomography of liver (procedure),8,0.0
Ultrasound doppler flow mapping of artery of upper limb (procedure),8,0.0
Three dimensional rotational fluoroscopic angiography with contrast (procedure),8,0.0
Percutaneous transluminal angioplasty of dialysis fistula using fluoroscopic guidance (procedure) (432952005),8,0.0
Magnetic resonance imaging of left foot with contrast (procedure),8,0.0
Respiratory and electrocardiography gated cardiac computed tomography of heart (procedure) (431190000),8,0.0
Fluoroscopic angiography of iliac artery and insertion of stent (procedure),8,0.0
Lumbar puncture using fluoroscopic guidance (procedure) (438348005),8,0.0
Computed tomography of spine for radiotherapy planning (procedure),8,0.0
Respiratory and electrocardiography gated cardiac computed tomography of heart (procedure),8,0.0
Injection of knee using ultrasound guidance (procedure) (431980009),8,0.0
Magnetic resonance imaging of right forearm (procedure),8,0.0
Magnetic resonance arthrography of left hip (procedure),8,0.0
Single photon emission computed tomography of bone of thorax (procedure),8,0.0
Drainage using fluoroscopic guidance (procedure) (702648004),8,0.0
Ultrasound scan and drainage of pelvis (procedure) (418030000),8,0.0
Injection of intraarticular ligament using ultrasound guidance (procedure),8,0.0
Fluoroscopy of diaphragm (procedure),8,0.0
Ultrasound for foreign body localization (procedure),8,0.0
Magnetic resonance imaging of entire skeleton (procedure),8,0.0
Magnetic resonance imaging of coccyx (procedure),8,0.0
Injection of facet joint using fluoroscopic guidance (procedure) (432671005),8,0.0
Endoscopic retrograde cholangiopancreatography with insertion of biliary plastic stent using fluoroscopic guidance (procedure),8,0.0
Computed tomography of pelvis for radiotherapy planning (procedure),8,0.0
Computed tomography of internal auditory meatus with contrast (procedure) (429857005),8,0.0
Replacement of gastrojejunostomy tube using fluoroscopic guidance (procedure) (433064009),8,0.0
Fluoroscopy of tube device with contrast (procedure) (1051381000000106),8,0.0
Ultrasonography of small intestine (procedure),8,0.0
Fluoroscopic venography and embolization of testicular vein (procedure),8,0.0
Single photon emission computed tomography with computed tomography of parathyroid (procedure) (443236005),8,0.0
Fluoroscopy of tube device with contrast (procedure),8,0.0
Radionuclide imaging of myocardium using technetium (99m-Tc) sestamibi (procedure),8,0.0
Magnetic resonance imaging of right hand (procedure) (2371000087106),8,0.0
Insertion of nasogastric feeding tube using fluoroscopic guidance (procedure) (431493005),8,0.0
Ultrasound scan of buttock (procedure),8,0.0
Diagnostic radiography for foreign body detection and localization (procedure),8,0.0
Computed tomography of upper arm (procedure),8,0.0
Ultrasonography of clavicular region (procedure) (433169002),8,0.0
Magnetic resonance imaging of penis (procedure),8,0.0
Virtual computed tomography bronchoscopy (procedure) (418419008),8,0.0
Biopsy of right kidney using ultrasonographic guidance (procedure),7,0.0
Magnetic resonance imaging of brain and cervical spinal cord (procedure),7,0.0
Magnetic resonance imaging of brain with functional imaging (procedure) (241603006),7,0.0
Magnetic resonance imaging of thumb (procedure),7,0.0
"Computed tomography of neck, thorax and abdomen (procedure)",7,0.0
Computed tomography of thorax for radiotherapy planning (procedure),7,0.0
Hydrodistention of glenohumeral joint using fluoroscopic guidance (procedure) (431322006),7,0.0
Computed tomography triple phase of bilateral adrenal glands with contrast (procedure) (1111441000000108),7,0.0
Aspiration of abdomen using ultrasound guidance (procedure) (432556004),7,0.0
Ultrasound scan of salivary glands (procedure),7,0.0
Measurement of cervical length using obstetric ultrasonography (procedure) (431816009),7,0.0
Radionuclide brain study delayed (procedure),7,0.0
Ultrasonography of small intestine (procedure) (859251000000105),7,0.0
Doppler ultrasonography flow mapping of vein (procedure) (431750009),7,0.0
Single photon emission computed tomography using octreotide (procedure) (429800000),7,0.0
Water soluble contrast enema (procedure) (241168000),7,0.0
Arterial embolisation of prostate using fluoroscopic guidance (procedure),7,0.0
Removal of inferior vena cava filter using fluoroscopic guidance (procedure),7,0.0
Insertion of drain using computed tomography guidance (procedure),7,0.0
Ultrasound scan of spleen (procedure),7,0.0
X-ray of eye for foreign body (procedure) (241037002),7,0.0
Ultrasonography of forefoot (procedure),7,0.0
Magnetic resonance imaging of elbow (procedure) (241635006),7,0.0
Radionuclide imaging of whole body using gallium (procedure) (433213003),7,0.0
Computed tomography of left hand (procedure),7,0.0
Single photon emission computed tomography using iodine 123 meta-iodobenzylguanidine with computed tomography (procedure),7,0.0
X-ray of pelvis using mobile image intensifier (procedure) (431251007),7,0.0
Computed tomography of face with contrast (procedure),7,0.0
Fluoroscopic angiography and aspiration of heart (procedure) (419470007),7,0.0
Ultrasound scan of gallbladder (procedure) (169250003),7,0.0
Percutaneous drainage of abdomen using computed tomography guidance (procedure),7,0.0
Removal of temporary cardiac pacemaker lead using fluoroscopic guidance (procedure),7,0.0
Computed tomography dual phase study of liver (procedure),7,0.0
"Radionuclide localization of tumor, whole body (procedure)",7,0.0
Biopsy of abdomen using ultrasound guidance (procedure),7,0.0
Single photon emission computed tomography using iodine 131 with computed tomography of whole body (procedure),7,0.0
Diagnostic radiography of temporomandibular joint (procedure) (40372003),7,0.0
Radionuclide imaging of liver and/or biliary tract using tauroselcholic acid (75-Se) (procedure) (765251003),7,0.0
Diagnostic radiography of coccyx (procedure),7,0.0
Computed tomography of urinary tract excretory phase with contrast (procedure),7,0.0
Diagnostic radiography of sacroiliac joints (procedure) (6238009),7,0.0
Magnetic resonance imaging of parotid gland (procedure) (420137004),7,0.0
Magnetic resonance imaging of perianal fistula with contrast (procedure) (719348000),7,0.0
Insertion of stent using fluoroscopic guidance (procedure),7,0.0
Tc99m-methoxyisobutyl isonitrile parathyroid study (procedure),7,0.0
Endoscopic insertion of esophageal stent using fluoroscopic guidance (procedure),7,0.0
Magnetic resonance imaging of abdomen and pelvis (procedure),7,0.0
Fluoroscopy of chest (procedure),7,0.0
Magnetic resonance imaging of liver for assessment of hepatic iron load (procedure),7,0.0
Cardiac electrophysiology (procedure) (252425004),7,0.0
Injection of cervical spinal nerve root using computed tomography guidance (procedure) (430445005),7,0.0
Percutaneous nephrolithotomy using fluoroscopic guidance (procedure) (431742000),7,0.0
Magnetic resonance imaging of sacral spine (procedure) (432152009),7,0.0
Biopsy of thyroid using ultrasound guidance (procedure),7,0.0
"Computed tomography of thorax, abdomen and pelvis with oral and intravenous contrast (procedure) (764731006)",7,0.0
Insertion of temporary inferior vena cava filter using fluoroscopic guidance (procedure) (432401002),6,0.0
Magnetic resonance imaging arthrography of shoulder (procedure) (241650002),6,0.0
Percutaneous embolization of fibroid of uterus using fluoroscopic guidance with contrast (procedure),6,0.0
Whole body radioiodine I131 study (procedure) (241388008),6,0.0
Dual energy X-ray photon absorptiometry of bilateral femurs (procedure),6,0.0
Computed tomography of larynx with contrast (procedure) (431997003),6,0.0
Endoscopic retrograde cholangiopancreatography with dilatation of bile duct using fluoroscopic guidance (procedure),6,0.0
X-ray of pelvis using mobile image intensifier (procedure),6,0.0
Fluoroscopy of catheter in situ (procedure),6,0.0
Radionuclide two-phase bone imaging of pelvis (procedure) (430830005),6,0.0
Magnetic resonance arthrography of right hip (procedure) (19831000087106),6,0.0
Magnetic resonance imaging of right upper arm (procedure) (2451000087109),6,0.0
Magnetic resonance imaging for cardiac morphology and function under stress with contrast (procedure),6,0.0
Fluoroscopic fistulography (procedure),6,0.0
Biopsy of pelvis using ultrasonographic guidance (procedure),6,0.0
Magnetic resonance imaging of right knee with contrast (procedure),6,0.0
Ultrasonography surveillance of liver for hepatocellular carcinoma (procedure),6,0.0
Single photon emission computed tomography with computed tomography of neoplasm (procedure),6,0.0
Computed tomography of head and neck with contrast (procedure),6,0.0
Insertion of cardiac defibrillator using fluoroscopic guidance (procedure),6,0.0
Positron emission tomography using fluorodeoxyglucose with computed tomography electrocardiography gated myocardial rest study (procedure),6,0.0
Reposition of permanent cardiac pacemaker using fluoroscopic guidance (procedure),6,0.0
Magnetic resonance imaging of left foot with contrast (procedure) (2281000087102),6,0.0
Percutaneous radiofrequency ablation of long saphenous vein using fluoroscopic guidance (procedure) (430287009),6,0.0
Cholecystostomy using fluoroscopic guidance (procedure) (432027005),6,0.0
Computed tomography angiography of upper limb artery (procedure),6,0.0
Computed tomography of right calcaneum (procedure),6,0.0
Fluoroscopy of esophagus and insertion of stent (procedure) (420042005),6,0.0
Radiographic imaging of acetabulum (procedure),6,0.0
Magnetic resonance imaging of pelvic cavity (procedure),6,0.0
Single photon emission computed tomography of sentinel lymph node (procedure),6,0.0
Magnetic resonance imaging of perianal fistula with contrast (procedure),6,0.0
Magnetic resonance imaging of left knee with contrast (procedure),6,0.0
Magnetic resonance imaging of sternoclavicular joint (procedure),6,0.0
Magnetic resonance imaging of femur (procedure),6,0.0
Magnetic resonance arthrography of left shoulder (procedure) (20051000087106),6,0.0
Fine needle aspiration and core needle biopsy of breast using magnetic resonance imaging guidance (procedure) (433685008),6,0.0
Injection of lumbar spinal nerve root using computed tomography guidance (procedure) (429868005),6,0.0
Cardiac fluoroscopy (procedure) (82327001),6,0.0
Cervicothoracic junction X-ray (procedure) (241092006),6,0.0
Injection of left facet joint using fluoroscopic guidance (procedure) (1095681000000105),6,0.0
Bronchoscopy (procedure) (10847001),6,0.0
Insertion of drain using computed tomography guidance (procedure) (431842009),6,0.0
Magnetic resonance imaging of left forearm (procedure),6,0.0
Insertion of central venous catheter using fluoroscopic guidance (procedure),6,0.0
"Computerized tomography of neck, thorax, abdomen and pelvis (procedure) (418332004)",6,0.0
Fluoroscopic antegrade angiography of femoral artery (procedure),6,0.0
Biopsy of bone using computed tomography guidance (procedure),6,0.0
Single photon emission computed tomography with computed tomography of bone of head and neck (procedure) (443365001),6,0.0
Radionuclide localization of tumor (procedure),6,0.0
Insert of stent into esophagus using fluoroscopic guidance (procedure),6,0.0
Radionuclide hepatobiliary study (procedure) (241342002),6,0.0
Magnetic resonance imaging for measurement of brain volume (procedure) (698354004),6,0.0
Computed tomography of prostate with contrast for radiotherapy planning (procedure),6,0.0
Removal of tunneled central venous catheter using fluoroscopic guidance (procedure),6,0.0
Aspiration of thorax using ultrasound guidance (procedure),6,0.0
Computed tomography of neck for radiotherapy planning (procedure),6,0.0
Replacement of gastrostomy tube using fluoroscopic guidance (procedure),6,0.0
Biopsy using fluoroscopic guidance (procedure),6,0.0
Fluoroscopic angiography of left ventricle and coronary arteries (procedure),5,0.0
T tube cholangiogram (procedure),5,0.0
Magnetic resonance imaging of kidney with contrast (procedure),5,0.0
Single photon emission computed tomography brain dopamine D2 receptor study using 123I-iodobenzamide (procedure) (1099191000000101),5,0.0
Fluoroscopy of pelvis (procedure) (419334008),5,0.0
Computed tomography four phase scan of liver with contrast (procedure) (1110571000000107),5,0.0
Fluoroscopic angioplasty of popliteal artery (procedure) (418846007),5,0.0
Computed tomography of left calcaneum (procedure),5,0.0
Computed tomography of head for radiotherapy planning (procedure),5,0.0
Aspiration of right breast using ultrasonographic guidance (procedure) (941000087108),5,0.0
Computed tomography angiography of coronary artery bypass graft (procedure) (450506009),5,0.0
Ultrasonography surveillance check post-endovascular aneurysm repair (procedure),5,0.0
Magnetic resonance imaging of right foot with contrast (procedure) (2301000087101),5,0.0
Magnetic resonance imaging venography of intracranial veins (procedure) (418463004),5,0.0
Endovascular repair of abdominal aortic aneurysm using fluoroscopic guidance (procedure),5,0.0
Diagnostic radiography of coccyx (procedure) (24856003),5,0.0
Percutaneous transluminal revascularization of chronic total occlusion of coronary artery using fluoroscopic guidance (procedure),5,0.0
Replacement of cardiac defibrillator using fluoroscopic guidance (procedure) (432852006),5,0.0
Computed tomography dual phase study of pancreas (procedure),5,0.0
Fluoroscopic angiography of carotid artery and insertion of stent (procedure) (418405008),5,0.0
Dual energy X-ray photon absorptiometry scan of whole body (procedure),5,0.0
Diffusion weighted magnetic resonance imaging of internal auditory meatus (procedure),5,0.0
Insertion of stent into transjugular intrahepatic portosystemic shunt using fluoroscopic guidance (procedure) (433593003),5,0.0
Vertebroplasty using fluoroscopic guidance (procedure) (431911003),5,0.0
Insertion of stent into bowel using fluoroscopic guidance (procedure),5,0.0
Computed tomography of sternoclavicular joint (procedure) (419976007),5,0.0
Magnetic resonance imaging of axilla (procedure) (241617002),5,0.0
Injection of wrist using ultrasound guidance (procedure) (432234003),5,0.0
Magnetic resonance imaging of base of skull (procedure) (446772005),5,0.0
Computed tomography of bilateral ankles (procedure),5,0.0
Injection using computed tomography guidance (procedure),5,0.0
Computed tomography of thigh with contrast (procedure),5,0.0
Magnetic resonance imaging angiography of renal and visceral arteries (procedure) (419580009),5,0.0
Injection of cervical spinal nerve root using fluoroscopic guidance (procedure),5,0.0
Magnetic resonance imaging of lower extremity (procedure) (113109007),5,0.0
Fluoroscopic cystometrography (procedure) (419123003),5,0.0
Removal of nephrostomy tube using fluoroscopic guidance (procedure),5,0.0
Ultrasonography of left thumb (procedure) (1261000087103),5,0.0
Computed tomography and biopsy of abdomen (procedure) (419940006),5,0.0
Computed tomography of thigh with contrast (procedure) (430432006),5,0.0
Magnetic resonance imaging of brachial plexus with contrast (procedure),5,0.0
Percutaneous aspiration of thrombus using fluoroscopic guidance (procedure),5,0.0
Implantation of permanent cardiac pacemaker using fluoroscopic guidance (procedure) (784162006),5,0.0
Sampling of blood of adrenal vein using fluoroscopic guidance (procedure),5,0.0
Magnetic resonance imaging of urinary bladder with contrast (procedure) (709528004),5,0.0
